n.louvainGlobalComponentId,size(collect(n.wikiID)),collect(n.wikiID),collect(n.en)
1388792,18,"[Q202871,Q188860,Q13741,Q189053,Q177929,Q11261,Q193564,Q186152,Q107602,Q175263,Q185534,Q193231,Q54277,Q183197,Q191865,Q131212,Q93249,Q189210]","[emulator,software library,integrated development environment,command-line interface,stack,Microsoft Word,game engine,array data structure,cursor,data structure,shareware,debugger,word processor,spreadsheet,Internet bot,text editor,antivirus software,web application]"
245744,18,"[Q43742,Q40080,Q188460,Q24354,Q8514,Q52105,Q93352,Q165107,Q7937,Q13691,Q7777019,Q185113,Q180537,Q483242,Q208361,Q106259,Q152810,Q43619]","[oasis,beach,natural resource,theatre,desert,habitat,coast,beehive,climate,artificial island,meadow,cape,meander,laboratory,location in Harry Potter,polder,landfill,natural environment]"
670291,18,"[Q38035,Q188546,Q185077,Q131105,Q164573,Q175026,Q108163,Q184943,Q62155,Q179080,Q36484,Q82799,Q103808,Q8096,Q83034,Q34698,Q192613,Q160843]","[consonant,pangram,vocative case,nominative case,subject,object,proposition,particle,affix,predicate,conjunction,name,loanword,lexicon,interjection,adjective,present tense,homonym]"
1479952,18,"[Q376,Q166046,Q48171,Q134566,Q160567,Q156424,Q2041172,Q179904,Q189880,Q194173,Q104555,Q227467,Q483400,Q192940,Q257916,Q167676,Q34735,Q181517]","[clock,ammeter,Geiger counter,weighing scale,seismometer,metronome,measuring instrument,hourglass,charge-coupled device,water clock,ruler,atomic clock,gyroscope,accelerometer,quartz clock,sensor,compass,theodolite]"
1384975,17,"[Q153356,Q207092,Q156050,Q160649,Q155098,Q154865,Q83319,Q1017169,Q192100,Q41083,Q134859,Q133780,Q12204,Q134649,Q12090,Q464067,Q36956]","[chlamydia infection,erysipelas,brucellosis,typhus,leptospirosis,botulism,typhoid fever,Buruli ulcer disease,filarial elephantiasis,syphilis,pertussis,plague,tuberculosis,diphtheria,cholera,fungal infectious disease,leprosy]"
1389349,17,"[Q32656,Q1571,Q5137,Q13267,Q33823,Q33997,Q1617,Q1568,Q11051,Q34239,Q9610,Q11059,Q33810,Q29401,Q33577,Q13201,Q36727]","[Maldivian,Marathi,Gujarati,Sinhala,Nepali,Sindhi,Urdu,Hindi,Hindustani,Konkani,Bengali,Sanskrit,Odia,Assamese,Indo-Aryan,Romani,Pali]"
459976,17,"[Q189434,Q1815901,Q80831,Q17517,Q174320,Q207691,Q206907,Q173350,Q132629,Q570,Q5320,Q11650,Q101674,Q174053,Q163829,Q187833,Q11658]","[multiplexer,electronic circuit,integrated circuit,mobile phone,oscilloscope,theremin,short circuit,printed circuit board,electrical network,loudspeaker,electrical switch,electronics,vacuum cleaner,relay,synthesizer,lathe,transformer]"
596370,17,"[Q31963,Q571,Q161736,Q436048,Q171341,Q2270398,Q2545446,Q196626,Q3241972,Q162940,Q40953,Q254554,Q11241,Q106833,Q82990,Q913554,Q23393]","[emoticon,book,comma,apostrophe,almanac,Indian rupee sign,grapheme,context,character,diacritic,prayer,picture book,smiley,audiobook,numerical digit,grimoire,Lord's Prayer]"
664974,17,"[Q187181,Q42244,Q45948,Q39572,Q127702,Q43054,Q165963,Q154626,Q79927,Q220599,Q83181,Q128700,Q40260,Q189474,Q138639,Q29548,Q189933]","[synapse,ribosome,organelle,mitochondrion,vacuole,neuron,plastid,cytoskeleton,endoplasmic reticulum,cytosol,Golgi apparatus,cell wall,nucleus,keratins,peroxisome,plasma membrane,microtubule]"
725482,17,"[Q844569,Q186516,Q75,Q1936384,Q1128637,Q108458,Q246672,Q14660,Q37260,Q8192,Q210588,Q484847,Q102786,Q167312,Q162919,Q45513,Q210832]","[identity,national flag,Internet,area of mathematics,national symbol,meditation,mathematical object,flag,writing,writing system,umbrella term,e-commerce,abbreviation,dualism,seal,swastika,statistical test]"
1385925,17,"[Q161733,Q37732,Q43455,Q21201,Q4932206,Q34749,Q1143546,Q23404,Q27172,Q132151,Q182116,Q34187,Q126842,Q680004,Q28598,Q847034,Q461659]","[criminology,demography,ethnology,sociology,jurisprudence,social science,cultural studies,anthropology,biological anthropology,ethnography,fetishism,religious studies,philosophy of law,legal history,cultural anthropology,sociology of law,sociology of religion]"
35160,16,"[Q178296,Q46303,Q83043,Q160003,Q19821,Q180778,Q37555,Q11352,Q188866,Q12510,Q127840,Q166080,Q189791,Q36810,Q200042,Q188884]","[dodecahedron,trapezoid,hexagon,tetrahedron,triangle,cyan,polygon,angle,heptagon,torus,pentagon,octagon,diagonal,quadrilateral,nonagon,octahedron]"
130091,16,"[Q234901,Q37602,Q35666,Q7892,Q81513,Q374,Q46966,Q47568,Q284,Q3733836,Q89,Q13186,Q14189,Q336191,Q182311,Q40526]","[dried fruit,hail,glacier,drinking water,Citrus,vodka,ice shelf,iceberg,cognac,apricot,apple,raisin,cumulus,wastewater,cumulonimbus,stratus]"
1152391,16,"[Q176555,Q75687,Q473708,Q82744,Q188674,Q3962,Q100047,Q865422,Q3975,Q165970,Q250,Q121117,Q575092,Q193040,Q870870,Q185131]","[quantum computer,Mac,home computer,image scanner,programmable logic controller,laptop,Commodore Amiga,game controller,computer case,touchscreen,computer keyboard,supercomputer,Google Glass,embedded system,push-button,minicomputer]"
547431,16,"[Q53860,Q23389,Q130998,Q93344,Q190247,Q64861,Q185674,Q11348,Q180907,Q191884,Q207643,Q192276,Q229102,Q114326,Q11182,Q170058]","[atomic orbital,Nash equilibrium,equivalence relation,trigonometric function,computer numerical control,transitive relation,field,function,bijection,inverse function,linear map,measure,surjective function,antiderivative,Network Address Translation,continuous function]"
271559,16,"[Q155814,Q36940,Q257106,Q38859,Q3916957,Q37083,Q25400,Q28298,Q145977,Q129324,Q127849,Q26686,Q26782,Q5122903,Q156106,Q155867]","[tarragon,sugarcane,liquorice,basil,turnip,Olea europaea,Asteraceae,celery,Fagaceae,Castanea,Tilia,Anethum graveolens,Picea,Kumquat,Medicago sativa,Ricinus communis]"
1459600,16,"[Q159408,Q36348,Q1331926,Q9415,Q188909,Q152263,Q673661,Q4,Q121610,Q123414,Q631521,Q211669,Q177708,Q105726,Q11978,Q332154]","[hibernation,dream,decision making,emotion,cell division,flash mob,abstraction,death,symbiosis,stress,teratology,swallowing,menopause,urination,digestion,ageing]"
115912,15,"[Q473972,Q987767,Q179049,Q1324355,Q1323314,Q188075,Q216530,Q83169,Q163886,Q217164,Q125576,Q11472,Q17147,Q201097,Q80228]","[protected area,container,nature reserve,geopark,bag,box,waste container,hydrosphere,easter egg,floor,papyrus,paper,egg,basket,bottle]"
231812,15,"[Q185935,Q270673,Q12135,Q317309,Q498237,Q192077,Q189643,Q41112,Q130741,Q191779,Q42844,Q4340209,Q208166,Q118418,Q131755]","[mania,personality disorder,mental disorder,mental health,Schizoid personality disorder,melancholia,delusion,schizophrenia,hallucination,Tourette syndrome,major depressive disorder,mental depression,borderline personality disorder,antisocial personality disorder,bipolar disorder]"
26771,15,"[Q47770,Q178990,Q189088,Q5293,Q5294,Q189401,Q121182,Q183731,Q234870,Q189900,Q165596,Q149757,Q183414,Q34467,Q183976]","[Blu-ray Disc,HD DVD,von Neumann architecture,floppy disk,DVD,virtual memory,information system,memory card,optical disc,information security,cache,Compact Cassette,punched card,compact disc,VHS]"
157175,15,"[Q102192,Q76469,Q172645,Q41097,Q172275,Q105533,Q212527,Q7802,Q28803,Q11367,Q190120,Q212254,Q23392,Q41760,Q208465]","[fresh water,tear,humus,dew,chloroform,brackish water,acetate,bread,sandwich,lipid,water vapor,compost,ice,fermentation,buffer solution]"
1386153,15,"[Q131138,Q12745289,Q23882,Q8253,Q693,Q218616,Q3966,Q104851,Q1033951,Q174526,Q14644,Q485,Q699,Q185867,Q752321]","[joke,Fujitsu FM Towns II,ZX Spectrum,fiction,fable,proprietary software,computer hardware,firmware,device driver,cyberpunk,spyware,computer virus,fairy tale,film noir,magical girl]"
308639,15,"[Q12760,Q37828,Q181780,Q178185,Q187634,Q37477,Q26100,Q130768,Q104541,Q421110,Q11430,Q165632,Q103382,Q12757,Q131313]","[steam engine,refrigerator,colloid,heat engine,emulsion,fog,suspension,smoke,aerosol,micelles,state of matter,dust,amorphous solid,internal combustion engine,heat pump]"
206502,15,"[Q185525,Q102014,Q40847,Q11653,Q93241,Q7187,Q1318295,Q795052,Q10675206,Q7220961,Q11254,Q25999,Q161071,Q172833,Q131151]","[turbocharger,hyperlink,scissors,electronic component,hypertext,gene,narrative,individual,ingredient,shovel,table salt,sail,screwdriver,broom,T-shirt]"
1444938,15,"[Q746656,Q7794,Q7778,Q212114,Q7787,Q124734,Q238533,Q212881,Q210701,Q107478,Q471148,Q202808,Q7790,Q201350,Q123559]","[history of biology,history of Greece,history of France,history of the European Union,history of Europe,rebellion,history of the Netherlands,history of physics,History of Ukraine,history of film,history of Scotland,history of Finland,history of Portugal,history of Sweden,al-Andalus]"
615888,15,"[Q170990,Q10874,Q58952,Q168403,Q207855,Q35805,Q131742,Q40878,Q184753,Q166907,Q86,Q205835,Q188008,Q474959,Q202837]","[arthritis,blindness,hiccups,myopia,amblyopia,cough,hepatitis,diarrhea,wound,cluster headache,headache,snoring,dyspnea,myalgia,cardiac arrest]"
1341495,15,"[Q203850,Q210427,Q9404,Q41571,Q748049,Q178999,Q9620,Q133823,Q159701,Q130983,Q205214,Q505544,Q11085,Q11081,Q147298]","[nervous tissue,cerebral palsy,nervous system,epilepsy,photoreceptor cell,axon,nerve,migraine,glaucoma,cerebellum,Guillain–Barré syndrome,rod cell,Parkinson's disease,Alzheimer's disease,cone cell]"
1386067,14,"[Q874429,Q8242,Q212803,Q3968,Q877729,Q337907,Q170337,Q173183,Q159943,Q34362,Q184890,Q105650,Q92552,Q152416]","[group theory,literature,algebraic topology,algebra,handicraft,woodcarving,eschatology,boolean algebra,abstract algebra,astrology,Latin-language literature,urology,Galois theory,samizdat]"
638855,14,"[Q170219,Q147538,Q178921,Q264554,Q215754,Q134768,Q6097,Q2908004,Q237315,Q282,Q167296,Q56139,Q8486,Q838858]","[sake,soft drink,mineral water,carbonated water,energy drink,cocktail,tea,powder,tonic water,wine,cider,liquor,coffee,cistern]"
1387053,14,"[Q29273,Q33261,Q25265,Q11788,Q149892,Q8331,Q25306,Q42583,Q27070,Q25324,Q18498,Q42699,Q122783,Q42659]","[British Shorthair,ocelot,Felidae,Ursidae,Canis,fox,Carnivora,Bengal cat,Feliformia,Canidae,wolf,serval,Ursus americanus,Maine coon]"
96351,14,"[Q642379,Q175002,Q9418,Q50637,Q40634,Q170912,Q179488,Q647525,Q506132,Q23373,Q7922,Q219695,Q34178,Q69883]","[history of Islam,developmental psychology,psychology,art history,philology,sexology,psycholinguistics,behavioral economics,psychometrics,cognitive psychology,pedagogy,evolutionary psychology,theology,urban planning]"
543401,14,"[Q10884,Q207123,Q171497,Q184208,Q155931,Q189838,Q157957,Q7540,Q25243,Q43511,Q25814,Q28692,Q27133,Q157069]","[tree,herb,common sunflower,rhizome,Amaranthaceae,bud,perennial plant,Solanum melongena,Betula,fennel,seed plants,Pimpinella anisum,Tracheophyta,Campanula]"
297566,14,"[Q7269,Q202686,Q184558,Q49892,Q41614,Q154547,Q49890,Q12097,Q7270,Q116,Q179352,Q849242,Q584683,Q719039]","[monarchy,Commonwealth realm,absolute monarchy,presidential system,constitutional monarchy,duchy,semi-presidential system,king,republic,monarch,despotism,hereditary monarchy,elective monarchy,queen consort]"
80007,14,"[Q185467,Q872181,Q182250,Q492,Q1217379,Q753877,Q83790,Q207137,Q8434,Q133500,Q869010,Q83602,Q352842,Q207650]","[socialization,scouting,e-learning,memory,parenting,homework,textbook,curriculum,education,learning,blended learning,homeschooling,teaching,autodidacticism]"
1386476,14,"[Q11563,Q174834,Q36161,Q1436734,Q379825,Q44454,Q11764,Q211067,Q1880695,Q42138,Q987584,Q2101636,Q79800,Q201662]","[number,authority,set,adventure,element,moral hazard,Iron Age,conflict of interest,national identity,citizenship,Ecuador national football team,political power,Argentina national football team,alter ego]"
632519,14,"[Q3320743,Q203535,Q618779,Q129372,Q381165,Q873364,Q1364556,Q378427,Q375990,Q51620,Q391629,Q105447,Q131647,Q727000]","[title of honor,Medal of Honor,award,European Capital of Culture,trophy,bronze medal,music award,literary award,World Music Awards,beatification,Teen Choice Awards,Saturn Award,medal,Millennium Problems]"
211457,14,"[Q203396,Q179671,Q325261,Q3624078,Q133156,Q164142,Q200464,Q161243,Q48349,Q190967,Q189062,Q160016,Q223832,Q185086]","[Overseas France,nation state,satellite state,sovereign state,colony,protectorate,Portuguese Empire,dependent territory,empire,Crusader states,states with nuclear weapons,member states of the United Nations,dominion of the British Empire,Crown Dependencies]"
1384109,13,"[Q25268,Q36155,Q34124,Q9288,Q34049,Q35518,Q36734,Q28602,Q28244,Q13275,Q33538,Q50868,Q13955]","[Afroasiatic,Coptic,Tigrinya,Hebrew,Semitic,Akkadian,Phoenician,Aramaic languages,Amharic,Somali,Syriac,Egyptian,Arabic]"
1388664,13,"[Q32768,Q133311,Q2738074,Q178476,Q7210356,Q45315,Q7163,Q546113,Q582577,Q15634554,Q7779,Q327591,Q103122]","[Anglo-Saxons,tribe,political movement,monetary policy,political organization,Berbers,politics,public policy,economic policy,state with limited recognition,Commonwealth of Independent States,independent politician,Ostrogoths]"
121825,13,"[Q185698,Q62832,Q192694,Q42240,Q217602,Q42948,Q177719,Q83180,Q188867,Q46857,Q192683,Q269829,Q80205]","[methodology,observatory,paleobotany,research,analysis,wall,medical diagnosis,roof,futures studies,scientific method,ad hoc,placebo,dendrochronology]"
1384986,13,"[Q30022,Q274393,Q234803,Q187456,Q465909,Q46970,Q200764,Q131734,Q190915,Q1137109,Q216107,Q880371,Q212198]","[coffeehouse,bakery,Rolls-Royce Motor Cars,bar,airline alliance,airline,bookstore,brewery,low-cost airline,video game publisher,department store,software industry,pub]"
170681,13,"[Q165740,Q101072,Q170239,Q49614,Q380057,Q209555,Q1084,Q783521,Q147276,Q103184,Q178377,Q49748,Q31427]","[aphorism,definition,onomatopoeia,nickname,adverb,tautology,noun,title,proper noun,article,mathematical induction,postalveolar consonant,fricative consonant]"
75697,13,"[Q131539,Q25372,Q191067,Q174864,Q178985,Q189279,Q179461,Q37707,Q35760,Q11032,Q732577,Q208556,Q4577]","[children's literature,drama,article,elegy,ode,catechism,religious text,haiku,essay,newspaper,publication,Malleus Maleficarum,Book of Job]"
64909,13,"[Q216747,Q190578,Q275747,Q188886,Q55989,Q216762,Q209029,Q208553,Q1463050,Q192152,Q926124,Q5639,Q668293]","[Honda Civic,sedan,Ford Mondeo,station wagon,convertible,hatchback,Ford Focus,Volkswagen Touareg,Tesla Model S,sport utility vehicle,Nissan Qashqai,trolleybus,Ford Kuga]"
201929,12,"[Q43748,Q842083,Q172605,Q196672,Q5880,Q2192288,Q9625,Q82025,Q31687,Q1364,Q844342,Q553]","[eyebrow,male reproductive system,palate,rib,vagina,vulva,prostate,horn,baritone,fruit,female reproductive system,tooth]"
657712,12,"[Q842386,Q132851,Q844587,Q102686,Q273199,Q1937160,Q223266,Q212413,Q2518691,Q1587677,Q4970706,Q462189]","[Prime Minister of Russia,admiral,Prime Minister of Spain,hermeneutics,shooting guard,minister without portfolio,vassal,point guard,defence minister,Prime Minister of France,Federal Chancellor of Germany,Premier of the Soviet Union]"
28112,12,"[Q81103,Q486396,Q182780,Q12796,Q185623,Q184613,Q12791,Q184393,Q172736,Q64418,Q231204,Q173366]","[cannon,shotgun,dagger,firearm,halberd,grenade launcher,sword,catapult,katana,artillery,sabre,bayonet]"
179268,12,"[Q216798,Q47069,Q25294,Q60186,Q47089,Q207079,Q191250,Q42045,Q82480,Q40861,Q15315,Q166409]","[lapis lazuli,metamorphic rock,hammer,meteorite,fault,slate,breccia,igneous rock,sedimentary rock,marble,crystalline schist,gneiss]"
627579,12,"[Q132781,Q193203,Q851824,Q124490,Q177716,Q43414,Q650711,Q149086,Q1827102,Q29253,Q58848,Q188494]","[torture,predestination,persecution,violence,pogrom,sexual abuse,combat,homicide,religious war,fatalism,pacifism,The hunt of the witches]"
646130,12,"[Q104363,Q10987,Q206286,Q496,Q272631,Q8047,Q171934,Q212410,Q184197,Q409202,Q326710,Q422523]","[anvil,honey,DNA polymerase,feces,RNA polymerase,enzyme,nectar,peptidase,rust,bicarbonate ion,vitreous humour,ribonuclease]"
1332003,12,"[Q10798,Q9377,Q1054718,Q221668,Q476921,Q58184,Q58697,Q58,Q9382,Q9386,Q178623,Q220551]","[Sus,kidney,kidney disease,urinary tract infection,kidney failure,nephron,Sus scrofa,penis,urinary bladder,urethra,kidney stone,diabetes insipidus]"
1385309,12,"[Q8087,Q8084,Q233858,Q188444,Q162886,Q207961,Q185969,Q209306,Q2151613,Q134787,Q327496,Q11205]","[geometry,trigonometry,non-Euclidean geometry,differential geometry,Euclidean geometry,shape,geoid,hyperbolic geometry,direction,analytic geometry,hairstyle,arithmetic]"
569442,11,"[Q14748,Q207937,Q35473,Q184190,Q189085,Q191529,Q23622,Q35197,Q22731,Q22657,Q179797]","[table,Nicene Creed,window,reinforced concrete,pastel,wallpaper,dictionary,mirror,stone,concrete,thesaurus]"
596094,11,"[Q12125,Q2840,Q39222,Q164655,Q1928978,Q12195,Q182155,Q44512,Q12214,Q154874,Q725345]","[common cold,influenza,rabies,abscess,viral infectious disease,poliomyelitis,herpes zoster,epidemic,smallpox,yellow fever,Kaposi's sarcoma]"
532747,11,"[Q10801,Q200199,Q170484,Q10816,Q180049,Q166118,Q192283,Q18545,Q7075,Q23856,Q212805]","[dildo,marble,Lego,sex toy,kaleidoscope,archives,news agency,ball,library,top,digital library]"
65397,11,"[Q37045,Q2192,Q205299,Q187947,Q233861,Q263478,Q862597,Q12139612,Q32880,Q968159,Q14075]","[markup language,Graphics Interchange Format,paper size,sheet music,musical notation,note,musical form,list,architectural style,art movement,free content]"
1368961,11,"[Q103495,Q454,Q241059,Q80895,Q8683,Q36669,Q198,Q864113,Q1777301,Q154605,Q8465]","[world war,peace,trench warfare,guerrilla warfare,Cold War,daylight saving time,war,proxy war,standard time,total war,civil war]"
1436144,11,"[Q34442,Q79007,Q165853,Q7743,Q22746,Q294440,Q54114,Q22698,Q188669,Q699405,Q46622]","[road,street,harem,home,urban park,public space,boulevard,park,fireplace,residence,controlled-access highway]"
98926,11,"[Q2126,Q3151,Q14982,Q6718,Q102165,Q37147,Q186608,Q159731,Q101667,Q2348,Q188392]","[neutrino,muon,methanol,quark,nucleon,atomic nucleus,phonon,baryon,hadron,neutron,tau]"
182102,11,"[Q101352,Q110874,Q1071027,Q202444,Q11879590,Q2507958,Q216353,Q217438,Q12308941,Q133356,Q109754145]","[family name,patronymic,full name,given name,female given name,name at birth,title,demonym,male given name,Ukrainian Soviet Socialist Republic,Long]"
1384898,11,"[Q23444,Q3142,Q1075,Q429220,Q943,Q208045,Q202466,Q39338,Q1048314,Q23786,Q23445]","[white,red,color,pink,yellow,gold,blond hair,orange,human hair color,eye color,black]"
198251,11,"[Q196,Q14712,Q487338,Q202677,Q13099586,Q13184,Q169,Q13194,Q13191,Q503,Q38645]","[cherry,drupe,Mojito,gazpacho,pear,berry,mango,kiwifruit,orange,banana,watermelon]"
90676,11,"[Q18608583,Q169918,Q2658935,Q83145,Q13406554,Q476300,Q205570,Q1366722,Q190042,Q19317,Q260858]","[recurring sports event,Coppa Italia,beauty contest,Africa Cup of Nations,sports competition,competition,World Men's Handball Championship,final,World Chess Championship,FIFA World Cup,UEFA European Championship]"
222838,11,"[Q131790,Q181055,Q145205,Q267877,Q187939,Q82001,Q189566,Q167510,Q540912,Q42385,Q907703]","[adhesive,hot dog,resin,stroopwafel,manufacturing,ivory,mortar,bitumen,food industry,Theobroma cacao,tobacco industry]"
1386347,11,"[Q194112,Q7167,Q131594,Q408891,Q483948,Q211364,Q17736,Q214070,Q136980,Q7260,Q853467]","[value,colonialism,Pauli exclusion principle,scientific law,conservation of mass,principle,axiom,physical law,interference,imperialism,net neutrality]"
96486,11,"[Q1578,Q205762,Q165112,Q40763,Q11009,Q13179,Q484083,Q193726,Q193026,Q1566,Q33971]","[cigarette,goulash,popcorn,seed,nut,raspberry,green tea,copra,cotyledon,tobacco,leaf]"
1490908,11,"[Q780687,Q170156,Q4394526,Q381148,Q8458,Q625298,Q47232,Q8354948,Q173462,Q135010,Q41397]","[rights,confederation,international law,international humanitarian law,human rights,peace treaty,enlargement of the European Union,children's rights,crime against humanity,war crime,genocide]"
1387743,11,"[Q184654,Q178108,Q542,Q202391,Q185027,Q624482,Q243264,Q170737,Q187204,Q165704,Q537769]","[decathlon,javelin throw,athletics,racewalking,pole vault,sprinting,heptathlon,long jump,triple jump,high jump,hurdling]"
1389748,11,"[Q702492,Q19097,Q3957,Q127448,Q88556,Q177634,Q161387,Q200250,Q269528,Q622499,Q6576792]","[urban area,sect,town,municipality of Sweden,garrison,community,kibbutz,metropolis,unincorporated area,refugee camp,online community]"
126687,10,"[Q26398,Q184973,Q289,Q14350,Q202255,Q15416,Q2001305,Q1616075,Q184452,Q1254874]","[public broadcasting,internet radio,television,radio station,digital television,television program,television channel,television station,cable television,television network]"
1385197,10,"[Q38404,Q2836,Q192309,Q183560,Q12131,Q64513386,Q161790,Q131749,Q373822,Q220322]","[autism,aphasia,tinnitus,intellectual disability,disability,bulimia nervosa,Asperger syndrome,anorexia nervosa,eating disorder,agnosia]"
1440946,10,"[Q879146,Q170208,Q34627,Q33203,Q110223,Q747802,Q483978,Q75809,Q101849,Q194253]","[Christian denomination,Quakers,synagogue,Methodism,Mennonites,Mormonism,Pentecostalism,Lutheranism,Calvinism,Evangelicalism]"
643557,10,"[Q179976,Q482919,Q7953,Q275157,Q134307,Q1322198,Q190474,Q192439,Q41363,Q12769393]","[recursion,caricature,Zen,blood glucose,portrait,spoken language,activation energy,domain of a function,panorama,end]"
1384697,10,"[Q245068,Q11281,Q33999,Q2405480,Q488111,Q10798782,Q658371,Q970153,Q622807,Q10800557]","[comedian,troll,actor,voice actor,pornographic actor,television actor,extra,child actor,seiyū,film actor]"
1386670,10,"[Q16305538,Q188689,Q2495862,Q42530,Q2020153,Q16980,Q156013,Q189021,Q165,Q184937]","[subtropics,ultimatum,congress,tropics,academic conference,ARM architecture,Eurostar,TED,sea,Bilderberg Group]"
1469706,10,"[Q211727,Q924724,Q18822,Q626658,Q11442,Q39495,Q223924,Q206592,Q221329,Q579421]","[Orion,electric bicycle,Global Positioning System,fly-by-wire,bicycle,tractor,unicycle,jet aircraft,avionics,Soyuz]"
519868,10,"[Q9351,Q1381762,Q191796,Q9410,Q88870,Q2239243,Q15632617,Q276453,Q74359,Q186446]","[Pikachu,Teenage Mutant Ninja Turtles,cameo appearance,werewolf,Countryballs,mythical creature,fictional human,monster,Hobbit,psychokinesis]"
177848,10,"[Q211346,Q39631,Q6500773,Q774306,Q186360,Q3332438,Q212980,Q105186,Q27349,Q202883]","[psychiatrist,physician,general practitioner,surgeon,nurse,medical specialist,psychologist,pharmacist,dentist,veterinarian]"
89608,10,"[Q32096,Q152213,Q178678,Q40561,Q187916,Q606060,Q114466,Q7856,Q182863,Q41323]","[Super Bowl,striptease,kickboxing,sumo,horse racing,women's association football,mixed martial arts,rallying,belly dance,American football]"
88208,10,"[Q12117,Q76605,Q12104,Q281,Q12099,Q250432,Q11577,Q15645384,Q959362,Q259438]","[cereal,couscous,Avena sativa,whisky,Secale cereale,bulgur,Hordeum vulgare,wheat,gin,millet]"
583550,10,"[Q207220,Q134283,Q35051,Q186385,Q945475,Q727605,Q190715,Q211340,Q83193,Q201565]","[muffin,Origanum vulgare,white cabbage,caviar,coleslaw,churro,sashimi,pita,lettuce,nori]"
17493,10,"[Q213702,Q332711,Q579677,Q6468838,Q25223,Q475658,Q890005,Q29558,Q473984,Q327948]","[President of Ireland,President of Italy,President of Ukraine,President of Slovakia,president of Germany,President of Austria,President of Estonia,President of Finland,President of Pakistan,President of Israel]"
1385824,10,"[Q48362,Q172175,Q748,Q83090,Q483889,Q219517,Q180987,Q262244,Q9089,Q9316]","[Mahāyāna,Vajrayana,Buddhism,avatar,Tibetan Buddhism,Dalit,stupa,Pure Land Buddhism,Hinduism,Sikhism]"
220159,10,"[Q234497,Q104680,Q380782,Q83460,Q19100,Q983927,Q157148,Q152951,Q152956,Q168559]","[special forces,colonel,commander-in-chief,general,captain,major,major general,lieutenant general,brigadier general,political commissar]"
1389429,10,"[Q6654,Q7918,Q146665,Q35499,Q9063,Q8821,Q9299,Q9301,Q9303,Q9296]","[Croatian,Bulgarian,South Slavic,Old Church Slavonic,Slovene,Montenegrin,Serbian,Serbo-Croatian,Bosnian,Macedonian]"
1387397,10,"[Q11206,Q171251,Q37055,Q207892,Q28564,Q182290,Q41487,Q327333,Q211017,Q480242]","[constitutional law,administrative law,independence,public law,public library,customs agency,court,government agency,e-government,statistical service]"
1387726,9,"[Q219488,Q60960,Q189637,Q7155,Q173253,Q44703,Q431,Q60242,Q39286]","[primatology,tail,dentine,ethology,sense,ornithology,zoology,ichthyology,entomology]"
272923,9,"[Q10876,Q10872,Q170065,Q1816730,Q808,Q101274,Q39833,Q189308,Q47051]","[bacteria,Archaea,pathogen,probiotics,virus,protozoa,microorganism,retrovirus,prion]"
647629,9,"[Q38142,Q212418,Q1250916,Q11338576,Q13474373,Q482999,Q1414937,Q102083,Q220098]","[samurai,ronin,warrior,boxer,professional wrestler,gladiator,combatant,knight,warlord]"
90196,9,"[Q192833,Q638328,Q14639,Q486902,Q191794,Q17297,Q1990797,Q168658,Q827335]","[mind map,dynamical system,Trojan horse,mathematical model,Hello Kitty,matryoshka doll,scarecrow,doll,abstract data type]"
102496,9,"[Q2085381,Q476118,Q4830453,Q180846,Q161726,Q13107184,Q83405,Q489209,Q217107]","[publisher,reinsurance,business,supermarket,multinational corporation,pharmacy,factory,joint venture,travel agency]"
1383142,9,"[Q131081,Q42857,Q219477,Q43115,Q47740,Q29536,Q28914,Q42759,Q191421]","[druid,prophet,missionary,saint,Muslim,paganism,patron saint,mujahid,Lama]"
145596,9,"[Q41796,Q133871,Q205692,Q111352,Q8188,Q36244,Q8171,Q207522,Q43249]","[sentence,normal distribution,Poisson distribution,lexeme,syllable,vowel,word,probability density function,morpheme]"
1384228,9,"[Q19860,Q147356,Q8785,Q1321,Q8748,Q23526,Q25293,Q37029,Q131848]","[Indo-European,Balto-Slavic,Armenian,Spanish,Albanian,Slavic,Celtic,Tocharian,Italic]"
1387630,9,"[Q121750,Q206717,Q2537,Q3559,Q128207,Q634,Q215913,Q3863,Q2199]","[gas giant,planetary system,natural satellite,comet,terrestrial planet,planet,circumstellar habitable zone,asteroid,dwarf planet]"
1387795,9,"[Q182228,Q185080,Q492038,Q47273,Q1073,Q12202,Q223851,Q431643,Q1368943]","[brain stem,mesencephalon,human brain,central nervous system,brain,stroke,corpus callosum,microcephaly,cerebral hemorrhage]"
483205,9,"[Q193813,Q191192,Q174396,Q3707571,Q128430,Q45713,Q131087,Q175255,Q128285]","[Mjölnir,Giants,elf,giant,cyclops,titan,valkyrie,Hecatoncheires,Norse mythology]"
1386515,9,"[Q728455,Q620805,Q188670,Q7066,Q9159,Q9163,Q150395,Q6186,Q221390]","[pantheism,theism,anarcho-communism,atheism,monotheism,polytheism,henotheism,communism,panentheism]"
1387832,9,"[Q339747,Q878985,Q131265,Q18957,Q38166,Q147516,Q264965,Q128115,Q177725]","[hippie,modernism,popular culture,mainstream,modern art,magic realism,subculture,abstract art,abstract expressionism]"
59575,9,"[Q208144,Q208413,Q178266,Q12870,Q173517,Q187661,Q211420,Q167336,Q62962]","[antipsychotics,botulinum toxin group,herbicide,explosive chemicals,hand grenade,carcinogen,aphrodisiac,greenhouse gas,hypnotic]"
